Part Type code,3-letter part code,Location code,Part-location,Part name (EN),Location (EN),Condition label (EN),Severity (1 to 5),Repair label (EN),COST BEFORE TAX,Part name (FR),Location (FR),Condition label (FR),Réparation (FR),Condition code, Repair code,Nomenclature,Angle,VehicleType,Order Front - left - rear -right,Order Front - right - rear - left
carbody,ENJ,ARG,ENJARG,Hubcap,Rear Left,scuffed,SEV1,Polish,0,ENJOLIVEUR,Arrière Gauche,Éraflé,Polish,scuffed,polish,2025,11-12-13-14,,1290,2430
carbody,ENJ,ARG,ENJARG,Hubcap,Rear Left,scratched,SEV3,Painting,0,ENJOLIVEUR,Arrière Gauche,Rayé,Peinture,scratched,painting,2025,11-12-13-14,,1290,2430
carbody,ENJ,ARG,ENJARG,Hubcap,Rear Left,accidented,SEV5,Replacement,0,ENJOLIVEUR,Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2025,11-12-13-14,,1290,2430
carbody,JNT,ARG,JNTARG,Steel rim,Rear Left,scuffed,SEV1,Polish,0,JANTE TOLE,Arrière Gauche,Éraflé,Polish,scuffed,polish,2025,11-12-13-14,,1300,2610
carbody,JNT,ARG,JNTARG,Steel rim,Rear Left,scratched,SEV3,Painting,0,JANTE TOLE,Arrière Gauche,Rayé,Peinture,scratched,painting,2025,11-12-13-14,,1300,2610
carbody,JNT,ARG,JNTARG,Steel rim,Rear Left,damaged,SEV4,Sheet Metal Work and Painting,0,JANTE TOLE,Arrière Gauche,Endommagé,Tôlerie Peinture,damaged,sheet_metal_work_and_painting,2025,11-12-13-14,,1300,2610
carbody,JNT,ARG,JNTARG,Steel rim,Rear Left,slightly damaged,SEV3,Quick repair,0,JANTE TOLE,Arrière Gauche,Peu endommagé,Réparation rapide,slightly damaged,quick_reparation,2025,11-12-13-14,,1300,2610
carbody,JNT,ARG,JNTARG,Steel rim,Rear Left,accidented,SEV5,Replacement,0,JANTE TOLE,Arrière Gauche,Accidenté,Remplacement,accidented,replacement,2025,11-12-13-14,,1300,2610
carbody,JNA,ARG,JNAARG,Aluminum rim,Rear Left,scuffed,SEV1,Polish,0,JANTE ALLUMINIUM,Arrière Gauche,Éraflé,Polish,scuffed,polish,2025,11-12-13-14,,1310,2250
carbody,JNA,ARG,JNAARG,Aluminum rim,Rear Left,scratched,SEV3,Painting,0,JANTE ALLUMINIUM,Arrière Gauche,Rayé,Peinture,scratched,painting,2025,11-12-13-14,,1310,2250
